masa,sigma_si
10.059,2.542e-6
10.797,1.552e-6
11.728,9.842e-7
12.515,6.970e-7
13.354,5.122e-7
14.591,3.452e-7
16.037,2.415e-7
17.835,1.668e-7
20.550,1.111e-7
23.678,7.966e-8
26.646,6.303e-8
30.884,5.049e-8
35.376,4.463e-8
42.231,3.995e-8
48.948,3.756e-8
58.434,3.850e-8
66.539,3.898e-8
84.263,4.301e-8
83.767,4.301e-8
103.60,4.926e-8
125.89,5.641e-8
152.07,6.540e-8
189.20,7.677e-8
252.67,9.945e-8
368.69,1.404e-7
507.14,1.887e-7
701.70,2.600e-7
1000.0,3.627e-7
