masa,nufog
0.3036740778044809,5.614731240938153e-44
0.34998103337791686,4.32857697799623e-44
0.3920159044957039,4.163196262149615e-44
0.4432317933818941,4.518915281447372e-44
0.487158460618922,4.52389787534125e-44
0.530446458037937,4.0129690524389263e-44
0.6113758135417912,2.7973741245072013e-44
0.7046136042015708,2.1135885127453406e-44
0.8434694476511098,1.3062277457315511e-44
0.9814133362876429,8.746996137143717e-45
1.1099535482745688,6.220055286753273e-45
1.2792444944234083,4.605935431911005e-45
1.6205171007943409,3.279649761414867e-45
1.939359333549695,2.971702736777424e-45
2.4562614527444766,2.8051945651350905e-45
2.884267229666844,2.8676284652843486e-45
3.3867134408956607,3.114021698419259e-45
3.902236063073459,3.380840384845341e-45
4.370557333570902,3.669307619101135e-45
4.89501608102798,4.063402690299541e-45
5.482635467713474,4.2360077613384814e-45
6.026243316238233,3.992054689783643e-45
6.379020872267113,3.013253260979503e-45
6.595798111086353,1.821990024160628e-45
6.692075793838059,1.14670896426903e-45
6.822009154341024,7.073560364804436e-46
6.955231726273828,3.714091794922127e-46
7.057242048310815,2.1136273327114217e-46
7.194265477732256,1.3038068936842462e-46
7.231524538176063,6.844725772263055e-47
7.442539355716073,3.742062643750624e-47
7.732223255787537,2.1301318445433133e-47
8.110570224069289,9.914867538734888e-48
8.66974375571067,4.61597094577628e-48
9.310846606570928,2.3294226287355805e-48
9.99921944645016,1.199443511387451e-48
10.99519316688994,6.1777589276455e-49
12.437853821836349,3.247670634162799e-49
14.068640713309552,1.926596270731534e-49
16.369249017331033,1.3163671366864702e-49
19.225577523257748,9.94815713835392e-50
22.366097037615788,8.482777933979338e-50
26.765965032468014,8.002184619267738e-50
32.641155870078215,8.020724735589488e-50
43.744924633976225,9.843739433287612e-50
55.9173027106969,1.3087372200722359e-49
71.47280489247886,1.8859489897532375e-49
84.71100941558608,2.406283761505647e-49
102.31957353772712,2.94962554207626e-49
124.76864251450631,3.3361813178320787e-49
157.99523408111386,4.0917490247681234e-49
200.07025394576792,5.018435296727438e-49
260.6278962972071,6.4100854710181854e-49
330.02547928215137,8.184944402447623e-49
417.9246351219293,9.642341383201927e-49
592.7012764789177,1.3911899891002103e-48
772.1012183212517,1.7769775257185192e-48
1064.4181953977375,2.4617827590537016e-48
1386.5601049337852,3.273691787387292e-48
1947.9805721990483,4.5362950914639634e-48
