x, y
5.1257005611374264, 3.5203338442405008e-43
5.294857653584368, 2.4271307232443888e-43
5.559117779843544, 1.6262230941266347e-43
5.900078831586254, 1.2216773489967981e-43
6.127863013014911, 9.177680174646435e-44
6.503707292736507, 6.700187503509632e-44
6.865351058419247, 4.891488015261477e-44
7.5677351134363064, 3.372487204202717e-44
7.902551459658252, 2.840639678637486e-44
7.902551459658252, 2.840639678637486e-44
8.387243880981947, 2.325196322065009e-44
8.85362318193932, 1.7467712080199271e-44
9.447635932002397, 1.4713021288322376e-44
10.08150255205593, 1.2392750374905101e-44
10.99330012305856, 1.014404530384543e-44
11.730869398842488, 9.047357242349349e-45
12.585848253365812, 7.841694843423464e-45
13.576410434945782, 6.993917368157474e-45
14.5658975264442, 5.890963547716927e-45
15.969460582872243, 5.563417021333253e-45
17.4137805435626, 5.4065379361446466e-45
19.0917642722904, 4.686055775070691e-45
20.372680702308955, 4.425503952074024e-45
22.215239456151572, 4.300712118415442e-45
24.09370800559782, 4.061585988376988e-45
25.989989883777397, 3.947056034604307e-45
27.73372632339313, 3.947056034604307e-45
30.07882518043099, 3.8357556345943594e-45
32.096892280976, 3.947056034604307e-45
34.62306032302896, 4.061585988376988e-45
37.34804901478302, 4.061585988376988e-45
40.07008018567739, 4.1794392064245875e-45
43.931214325514745, 4.425503952074024e-45
47.64593478181891, 4.686055775070691e-45
51.955158270866455, 4.961947603002939e-45
56.0442600846722, 5.4065379361446466e-45
59.16064530154067, 6.605044933079812e-45
62.78918433284688, 7.405684692262443e-45
68.46800308672906, 9.047357242349349e-45
73.06170060119301, 1.1052951411260153e-44
77.12435399921868, 1.350314037869872e-44
83.64580850209931, 1.6975151720087544e-44
87.34651730858613, 2.533533831880981e-44
87.82047255578775, 3.470345152052903e-44
87.82047255578775, 4.891488015261477e-44
88.29699955494087, 7.954650775061871e-44
88.29699955494087, 1.1537502316781722e-43
89.25782470366279, 1.6262230941266347e-43
94.2210763368556, 1.9867199185099975e-43
99.46031348567324, 2.2921785662605114e-43
106.13336621467134, 2.570028196942536e-43
113.25413151528114, 2.9651706276418862e-43
121.50841210956715, 3.3245979322709316e-43
132.4979520561991, 3.727593720314923e-43
141.3875864195839, 4.300712118415442e-43
150.8736496174398, 4.8220289526972035e-43
161.86974681552132, 4.961947603002938e-43
173.66727059734527, 5.25408257962418e-43
185.31906228573746, 5.890963547716927e-43
202.07980504011613, 6.605044933079812e-43
215.63786802261993, 7.19685673001147e-43
235.14072320357832, 8.069233783849677e-43
256.40746783353455, 8.303375119605345e-43
273.6105158935882, 9.047357242349349e-43
293.55202214608454, 9.580020967955438e-43
314.9469216291726, 1.0438390514435579e-42
345.29505933451566, 1.1373669942511058e-42
368.46180853577994, 1.2043295474377284e-42
403.9666156529924, 1.2752345251468981e-42
442.8926493375929, 1.4713021288322375e-42
488.2043504191418, 1.603130748548769e-42
523.78606070021, 1.557925134030653e-42
602.9183742117557, 1.7974564843250842e-42
602.9183742117557, 1.7974564843250842e-42
643.3697458332255, 2.0153376859417187e-42
686.5351058419245, 2.1959118727073735e-42
740.5684692262435, 2.2596296621344807e-42
803.1892022099629, 2.392665500344666e-42
866.4037613200179, 2.6070482461945273e-42
939.6648314954691, 2.760538375350983e-42
