x, y
1.398778627261747, 4.853547402209792e-34
1.425102670302998, 3.6754696677163593e-34
1.4700815615631782, 2.547692984089927e-34
1.4977474763452012, 1.8342003070011355e-34
1.5259340444438418, 1.4795944729406353e-34
1.5839085183252075, 1.0924946513658318e-34
1.6543350905523415, 8.812827267055355e-35
1.6750261536377529, 6.931612050747403e-35
1.7171878769145525, 5.451967247977246e-35
1.7386650509729713, 4.342708737691059e-35
1.7935405542579113, 3.503133120931601e-35
1.850148030506298, 2.790384850387514e-35
1.9204402944883505, 2.337897499829436e-35
1.9687792843542626, 1.8622283367718695e-35
2.0058303441931735, 1.5602503618975225e-35
2.0691380811147897, 1.2586072541017032e-35
2.1080778238617777, 1.0412694277567569e-35
2.1611397976480324, 8.724177209689464e-36
2.2155373829711213, 7.309469188011618e-36
2.2854638641349903, 6.047261187953935e-36
2.3722949860832463, 4.878144549410721e-36
2.432007513267948, 3.985098661313818e-36
2.5244062355919037, 3.424344010118577e-36
2.571913809059345, 2.833024135399049e-36
2.669627960264864, 2.4343811918013495e-36
2.805712615370485, 1.963742423699029e-36
2.930465225681531, 1.687418600520306e-36
3.060764809582873, 1.431768051710989e-36
3.2368416779565194, 1.2302998666886908e-36
3.4230477347863335, 1.0571808472506494e-36
3.6199656827278552, 8.970137946254198e-37
3.828211745620109, 7.707924133568655e-37
4.073676190567328, 6.540143338501087e-37
4.443992111457808, 5.691333701944178e-37
4.758421268463098, 5.0794627834796445e-37
5.0950974709841, 4.476442812024231e-37
5.62778350099571, 3.798244135504578e-37
6.101338233869748, 3.4766706919398e-37
6.6559779698339145, 3.142358733884845e-37
7.261037011353491, 2.8763149823719783e-37
7.872023280049087, 2.632795482134418e-37
8.534421519231937, 2.534846710528803e-37
9.426684551178852, 2.4405419598599268e-37
10.347723234048765, 2.349745660397067e-37
11.572516276196257, 2.349745660397067e-37
12.62451128546155, 2.349745660397067e-37
13.94438805637451, 2.349745660397067e-37
15.211997130533987, 2.349745660397067e-37
17.01254279852588, 2.3796294244945532e-37
18.55906126450328, 2.3796294244945532e-37
20.755777256167733, 2.3796294244945532e-37
22.783730312427718, 2.5030137031113884e-37
24.854876293913296, 2.700188432593237e-37
27.114298980653075, 2.804526158017677e-37
29.949064824251796, 2.9874583971213114e-37
33.28642902684374, 3.182322849446654e-37
36.53869535461568, 3.389897823470523e-37
39.86023098616936, 3.611012394788453e-37
44.027567984192935, 3.7505451826501673e-37
47.73230594935437, 4.045994117220218e-37
51.74878230977392, 4.20233499261097e-37
55.75563918117012, 4.5333736378769486e-37
59.70056036607195, 4.829074281602152e-37
64.32311552296537, 5.1440627400288215e-37
70.60783601803617, 5.763715354399282e-37
77.02641338990665, 6.139668116445018e-37
82.99049215649168, 6.458011180157662e-37
91.09911753496388, 7.05534267278299e-37
99.38044673839578, 7.707924133568655e-37
109.77054740581856, 8.107581596644305e-37
118.26997198197635, 8.42086588905737e-37
127.42749857031335, 8.970137946254198e-37
139.87786272617473, 9.799827728296399e-37
154.50191728184222, 1.0178501943169548e-36
165.4335090552342, 1.084242021180884e-36
178.24286152558116, 1.1845286089261948e-36
195.6581648084258, 1.2778397672863181e-36
213.4443927979123, 1.3611900648676104e-36
231.4048566993743, 1.487092865360174e-36
252.4406235591904, 1.6042385018692192e-36
277.1054543555851, 1.774911604517788e-36
307.98460965262916, 1.9390814345828618e-36
335.9818286283781, 2.1453780945513645e-36
361.99656827278534, 2.2853157511990645e-36
392.4570840618892, 2.528447884815308e-36
428.1332398719391, 2.659548431428554e-36
467.052522497818, 2.9799170237001515e-36
519.0983669494376, 3.338877142902114e-36
573.3694480917574, 3.6940964701265326e-36
625.4913707109911, 3.935053159659688e-36
678.1238856113339, 4.245036697220076e-36
730.6303452697376, 4.579439166281445e-36
782.3251903063297, 5.066640470818817e-36
853.4421519231933, 5.535277614763218e-36
942.6684551178854, 5.971318721905948e-36
